feature,importance_mean,importance_std
GrLivArea,1.1905872166628113,0.07662765877632886
TotalLivArea,0.15361308106774763,0.008368878160327706
YearBuilt,0.03104621444750224,0.002514964160658443
OverallQual,0.025638168509369175,0.0029333697655392183
GarageCars,0.012579912062355625,0.0004838675658527766
TotalBsmtSF,0.005719915843365997,0.00030968547791448297
FullBath,0.0020108490972067907,0.0006342230093837617
TotalBathrooms,0.0018825620223444472,0.00020270406549187384
Neighborhood,0.0017372317694152705,0.00019957127512156884
BsmtHalfBath,0.0010606508039196383,0.00010919985204596996
BsmtFullBath,0.0007774378393761383,0.00021148129924261272
HalfBath,0.0007322959306406585,0.00025196532696399786
